,Beer Names,Rating,Locations,Reviews,Users
237,Deschutes Ginger Cookie Imperial Porter,3.7,"Bend, Oregon","Draught. Pours clear dark brown with a small, frothy beige head, short retention. Moderate rich chocolate, light ginger and sweet vanilla, roast malt, and a dry finish. Full body and medium carbonation.",BeerandBlues2
238,Deschutes Luna Jo,3.6,"Bend, Oregon","Draught. Pours clear brown with a small, frothy off-white head, short retention. Moderate rich chocolate coffee notes, roast and bread malt, light hop bitterness, and a dry finish. Medium body and carbonation.",BeerandBlues2
239,Sudden Death Thicker Than Blood,3.6,"Timmendorfer Strand, Schleswig-Holstein","Draught at Taphouse.
Clear golden coloured with a medium sized white head
Fruity aroma of hops and citrus with notes of pine needles.
Fruity flavour of hops and citrus with notes of pine needles.
Hoppy finish.",joergen
240,Deschutes Rauch O Marx,3.3,"Bend, Oregon","Draught. Pours clear amber with a small, frothy white head, short retention. Heavy meaty smoke aroma and flavor, medium toast malt, light earthy hops and hop bitterness with a dry finish. Medium body and carbonation.",BeerandBlues2
241,Deschutes Bachelor Bitter,3.5,"Bend, Oregon","Draught. Pours clear amber with a medium, frothy off-white head, medium retention with light lacing. Medium grainy and bready malt, medium earthy hops and hop bitterness, and a dry finish. Medium body and carbonation.",BeerandBlues2
242,Wylam / Old Chimneys Summon Up The Blood,4.2,"Newcastle upon Tyne , Tyne & Wear","Canned, 440 ml shared with Max, Simon and Miro B. Black, beige head. Chocolate, malty, maple, tonka, vanilla, low carbonation. Sweet with some bitterness in finish. Smooth texture. Medium to full bodied.",Iznogud
243,Deschutes Almond Oat Sour,3.2,"Bend, Oregon","Draught. Pours clear gold with a medium, frothy white head, medium retention with light lacing. Medium acidity, tart peaches, light almond notes, light bread malt, and a dry finish. Medium body and carbonation.",BeerandBlues2
244,Glen Affric Nutty About You,3.3,"Birkenhead, Merseyside","Puszka. Czarny kolor. Piana zbita,beżowa,o średniej wysokości ,ładnie utrzymuje się w szkle. W zapachu mleczna czekolada,lekkie nuty masła orzechowego,kawa Inka. W smaku podobnie ,słodka ,mleczna czekolada,kawa słaba...Inka. ślady wytrawnego kakao..z lekka goryczka. piwo ratuje kremowa konsystencja i bardzo delikatne wysycenie...mimo wszystko jest raczej ok niż wow...",MarcinG
245,Deschutes Earl Grey IPA,3.4,"Bend, Oregon","Draught. Pours clear orange with a medium, frothy off-white head, medium retention with light lacing. Moderate bitter orange pith hops, medium herbal and savory bergamot, medium biscuit malt and a dry finish. Medium body and carbonation.",BeerandBlues2
246,Young's Cityscape,3.4,"Bedford, Bedfordshire","Handpull cask at the Syston & District Social Club. Dark gold, clear with a small foamy white head and lots of lacing. Bready notes and brown sugar in the aroma with some notes of melon. Bittersweet taste with suggestions of peach. A bit medicinal in the drier finish. Soft carbonation. It's in optimum condition which brings out some subtleties in a fairly simple beer.",jjsint
247,Half Acre Original Reaper,3.7,"Chicago, Illinois","On tap at Ellyn's Tap & Grill in Glen Ellyn, IL. as a 5 oz. serving showing a black/brown hue, with a creamy layer of deep tan froth, and sheeting spray as lacing. The nose was roasted, cocoa, slight coffee, and a touch of caramel sweetness. Medium+ bodied, with fair to low carbonation, the taste was similar, adding a bit of tartness & tanginess, and roasted, earthy bitterness with a dry edge to the finish. Solid, no nonsense, Sweet Stout.",tmoreau
248,Stone Go To IPA,3.6,"Escondido, California","Stone Brewing (Berlin)
Can: 330 ml, at home, from trip to StockholmPrice: 15,9 sek  ~1,51 eur 
neblogai, bet tikėjausi geriau",remALUS
249,Pressure Drop / Left Handed Giant Escape Pod,4.3,"Tottenham Hale, Greater London","Canned, 440 ml shared with Max, Simon and Miro B. Black with beige head. Chocolate, vanilla, coconut, coffee, bit lactic. Smooth. Moderate sweetness, some bitterness in finish.",Iznogud
250,Orpheus Searching for Flowers on Well-Worn Paths,3.4,"Atlanta, Georgia",Clear golden colour with thin head. Aroma and flavour have a sharpness just like a sour cider. Gassy. Slight funk too.,mike_77
251,Lemonstreet Zitronenstraße,3.6,"Jacksonville, Florida","on tap-thin retaining white-yellow.  A-slight spice, lt malt/grain.  T-follows, clean.  747414-3.6",jcwattsrugger
252,City Steam Naughty Nurse Amber Ale,2.6,"Hartford, Connecticut","Pours a nice copper from a tap. Malty aroma overrun by diacetyl, flavor is primarily fake butter but ends with a fine grainy bitterness. Okay beer, wish it wasn’t such a diacetyl bomb.",Quick3Beers
253,FrauGruber Space Grass,3.1,"Gundelfingen , Bavaria","Draught at Taphouse.
Hazy golden coloured with a small white head.
Fruity aroma of hops and pine needles.
Fruity flavour of hops and citrus with notes of grass.
Hoppy finish.",joergen
254,Cloudwater The Infinite Sides Of The Globe,4.4,"Manchester, Greater Manchester","Pours a hazy, dark orange coloration with a medium, fluffy head. Smells of light biscuity malt and bright and juicy hoppy notes of grapefruit, passion fruit, white grape and gooseberry, as well as a light, grassy dankness. Taste is an excellent balance of light biscuity malt and quite vibrant hoppy notes of zesty grapefruit, sweet passion fruit and lightly acidic white grape and gooseberry, as well as some grassy dankness. Finishes with a medium bitterness and some passion fruit, grapefruit and white grape lingering in the aftertaste. Smooth mouthfeel with a medium body and carbonation.

Another world-class Pale Ale from Cloudwater, with an incredibly vibrant hop character and full body and mouthfeel for the ABV, as well as an excellent balance of sweet, zesty and acidic hoppy fruit notes that lead into a bitter and slightly dank finish, showcasing the Nelson Sauvin and Cascade hops beautifully, with strong white grape and grapefruit notes.",snowcrash000
255,Neon Raptor / Voodoo Forbidden Wizards,3.5,"Nottingham, Nottinghamshire","Pours oily black with a creamy tan head. Strong aroma of firewood, dark malts, plum, but mostly smoke. Taste is sweet, roasted malts, again very smoky. Medium body, low carbonation, smooth mouthfeel.",minihame2
256,Pipeworks Rudolph vs Unicorn,3.7,"Chicago, Illinois","On tap at Ellyn's Tap & Grill in Glen Ellyn, IL. as a 5 oz. serving showing a black/brown hue, with a presentable layer of deep tan froth that reduced to a persistent ring, and foamy dots & dashes of lacing. The nose was roasted, cocoa, char & dryness, with a touch of mint. Medium+ bodied, with fair to low carbonation, the taste was similar, syrupy, including roasted and earthy bitterness, and the slight mint that actually took the edge off the astringency.",tmoreau
257,König Ludwig Weissbier Dunkel,3.0,"Kaltenberg, Bavaria",Tap. Hazy deep copper color with a medium sized frothy head. Aroma of ripe banana. Medium sour taste. Flavors are bread and banana. Medium to full body.,kingstoni
258,Brew By Numbers 33 TDH Session IPA - Mosaic Citra Amarillo,3.6,"Bermondsey, Greater London","Draught at Taphouse.
Hazy golden coloured with a small white head.
Fruity aroma of hops, citrus and exotic fruits.
Fruity flavour of hops and citrus with notes of white wine grapes.
Hoppy finish.",joergen
259,Evil Twin / Prairie Bible Belt,3.5,"Queens, New York","Can 473ml (Beergium)
Opaque colour, good brownish head. Roasted aroma has coffee, cacao and dark chocolate. Full-bodied. Roasted flavour has lots of espresso, cacao, ash. Not really chillies here. Smooth, hides ABV well. Quite dry, almost too dry.",TBone
260,Salt Ikat ,3.7,"Saltaire, West Yorkshire","Puszka. Mętne o brudnym ,żółtym kolorze. Piana biała ,średnia szybko opadła do pierścienia. W aromacie mix tropików,mango,ananas,morele,cytrusy raczej słodkie ,pozostają w tle. W smaku nadal słodko ,mango ,morele ,ananas,liczi ,żółty melon. Jest też nutka cytrusów,różowy grejpfrut ..guma balonowa? Wysycenie małe i  zdradliwe 8 procent...",MarcinG
261,Dubuisson Scaldis/Bush Prestige,4.1,"Pipaix, Belgium","Kolor bursztynowy, opalizujący. W płynie widać drożdżowe drobiny. Piana biała, wysoka i trwała. Zbudowana z drobnych pęcherzyków.
W aromacie nuty pieprzowe, estry owocowe sporo słodyczy. Słodowość, miód, syrop owocowy, suszone owoce, beczka i odrobina nut waniliowych.
Smak: syrop owocowy, suszone owoce, słodka słodowość i akcenty przyprawowe z pieprzem na czele. Dalej beczka, mokre drewno, i bardzo delikatnie wanilia. Na finiszu goryczka, pestkowa.
Alkohol idealnie ukryty. Wysycenie wysokie, cały czas buzuje w ustach. Ciało wysokie. Piwo jest nieco szorskie.",PlutonowyMan
262,Fixed Wheel Blackheath Stout,3.5,"Halesowen, West Midlands","Pours a deep dark brown almost black colour with a small frothy light beige head. Aroma is sweet roasted malts and milk chocolate with a hint of dried fruit. A moderately sweet smooth roasted malt taste, cocoa powder and burnt malt flavours with a dry slightly alkaline finish. Nice.
",Parmenion777
263,Fuller's London Porter (Bottle/Keg),3.8,"Chiswick, Greater London","Аромат жжёной карамели
Вкус очень приятный, шоколад - хлебная корка - карамель. Отличный портер.",TheWhaleNorman
264,Boxcar Velvette,3.5,"Bethnal Green, Greater London","Keg at Micro Beers, Sheen.  Super dark brown with a thick tan head.  Aroma of milk chocolate, cocoa, slight astringent grain and rum.  Very smooth and quite a big date and dark fruit flavour with some vanilla and cocoa.",Beese
265,Breckenridge Holidale,3.6,"Denver, Colorado","On tap at Ellyn's Tap & Grill in Glen Ellyn, IL. as a 5 oz. serving showing a clear, deep amber color, with a fluffy layer of tan froth, and sheeting spray as lacing. The nose was expressive dried fruit, cherry & skins, candy sweetness, barrel induced vanilla, and subtle spice. Medium bodied, with fair carbonation, the booze and barrel added decent warmth & astringency, but lessened the lively follow through of the aroma notes. Still got the job done as a presentable winter warmer.",tmoreau
266,Deschutes Wowza! Lo-Cal Hazy Pale Ale,3.9,"Bend, Oregon","I can't say enough about this 4%, 100 calorie IPA. Obviously it is lighter by definition. But they've crafted it to be surprisingly flavorful and refreshing. It's gotta be a winner for folks that may be averse to traditional IPA bitterness. Very drinkable and the low calories are an added bonus.",loubar
267,Bristol Beer Factory White MIlk Stout,3.2,"Bristol, Gloucestershire","Cask at MS HW, 06/02/20.
Clear golden blonde with a decent white head.
Nose is light coffee bean, airy malts, straw, vanilla, toasted malts.
Taste comprises creamy malts, faint coffee, hint of white chocolate buttons, vanilla, light fruit esters.
Medium bodied, soft carbonation, semi drying close.
Passable for the sub genre ... nothing I’d go back to though.",Theydon_Bois
268,The Kernel Biere de Saison - Sour Cherry,3.7,"Bermondsey, Greater London","Top notch sour, balanced and drinkable. Fruity yet not overly so, and tartness that is world class. GBBF Winter",bdleedahl
269,Flaschenbierfreunde Unsere Elfriede,3.0,"Dortmund, North Rhine-Westphalia","Im Geruch malzig süßlich. Goldgelbes klares Bier, schnell einfallende grobe Schaumkrone. Der Antrunk ist süßlich hopfig-malzig. Traditioneller Hopfen im Aroma. Sehr mild, kaum bitter. Leichte Säure. Feinperlig. Relativ eintönig, leistet sich jedoch keine geschmacklichen Fehler. Besser als das typische Durchschnitts-Export.",ichijo3
270,Leeuw Pilsener,3.5,"Boortmeerbeek, Belgium","Clear golden with a thin head.
Grainy, yeasty smell with a citric note. Grainy taste. A normal Belgian lager/pils as there are many. Highly drinkable.",ophone
271,Marks & Spencer Maritime Salted Caramel Porter,3.6,"Paddington, Greater London","Meantime Salted Caramel Porter 5.5%. Chestnut brown, toffee malt aroma, roasted malt, bitter dark chocolate, toffee, salted caramel. Old school Porter from supermarket Marks and Spencer 🇬🇧",MaltyVonHop
272,Beartown Creme Bearlee,3.4,"Congleton, Cheshire","Pours a clear dark brown colour with a small bubbly light beige colour that settled. A rich creamy aroma,  sweet vanilla and toffee fudge. Not overly sweet, smooth and creamy in the mouth, roasted malt, creamy with vanilla flavours and a dryish finish. Quite tasty.",Parmenion777
273,FrauGruber / Dry & Bitter Slaves Of Convenience,3.8,"Gundelfingen , Bavaria","niesamowite są te chmiele nowozelandzkie, pachnie to jak kwiaciarnia, prawdziwy gewurztraminer wśród ipek - dla mnie bomba, i to w prawie trzymiesięcznej puszce - zero utlenienia.",wojanex
274,Copper Dragon Golden Pippin,3.9,"Keighley, West Yorkshire",A lovely beer to drink.The bottle of Copper Dragon Golden Pippin was was purchased at Booths @ Lytham. Recommend 😉,prestonrail
275,Pit Caribou La Belle Anse,4.0,"Percé, Quebec","Medium, rather dense just off-white head over finely carbonated totally clear golden beer. Very nice nose, dominated by fruitacids and -esters, bit floral. Peaches are utterly obvious, vinous arrives a bit later. Superbly inviting. Sour, lambic-like barnyard odours. In the taste, the fruitiness is more subdued, but still quite traceable. Faint notes of sulphur, stressing the lambic-likeness even more. Outstanding! Another one Martin T has pointed us to in his book, and with good reason!",JorisPPattyn
276,North Brewing Co Triple Fruited Gose: Boysenberry,3.6,"Leeds, West Yorkshire","Draught at Mikkeller Bar Viktoriagade.
Dark brown coloured with a small head.
Fruity and light acidic aroma of boysenberries.
Fruity and light acidic flavour of boysenberries.
Tart finish.
",joergen
277,Funky Buddha No Crusts,2.5,"Oakland Park, Florida","Brown with a foamy head that soon turns whispy. Big medicinal aroma, a cherry/raspberry blend cough syrup. Herbal too though. With a bit of time out of the bottle it really does start to smell like a PB&J. The intense peanuty note is probably the highlight of this brew. Taste is bittersweet, full of earthy peanut shell and sweet artificial cough drop. Body is medium, carbonation moderate, texture watery. Probably the most disappointing tough 50 brew I‘ve tried, at least for such a major style.",hauxe
278,Mad Squirrel Indulgence,3.5,"Hemel Hempstead, Hertfordshire","Keg at MS HW, 06/02/20.
Black with a tan cap that veers edgeward.
Nose is dark malts, cocoa powder, toffee, dried fruits, light charr, mellow roast, light coffee.
Taste comprises sweet malts, chocolate, pecan nut, caramel melt, toffee fudge, light booze tunes, brown sugars, mellow roast.
Full bodied, fine carbonation, semi drying close with a balanced rising boost level.
Ok easy drinking impy, ABV considered, but lacks a little depth and struggles to pull out of third gear.",Theydon_Bois
279,Buxton / Verdant Matters of Perspective,4.1,"Buxton, Derbyshire","Canned, 440 ml, shared with Max, Simon and Miro B. Unclear orange, medium white head. Smooth, fruity, citrus. orange, lasting bit strong bitter finish. Medium bodied.",Iznogud
280,Schroll Nankendorfer Landbier,3.2,"Waischenfeld-Nankendorf, Bavaria","500 ml bottle. Clear amber, big fluffy head. Nuts, raisin, bread, hay, grass, caramel, subtle metallic notes. Dry bitterness with some malty sweetness. Medium bodied, oily texture, lively carbonated, dry finish. Good.",tgrtnr
281,North Brewing Co / Beerbliotek West Coast DIPA,3.6,"Leeds, West Yorkshire","Draught at Mikkeller Bar Viktoriagade.
Clear amber coloured with a small white head.
Fruity aroma of hops and citrus with notes of exotic fruits.
Fruity flavour of hops and pine needles with notes of citrus and licorice.
Hoppy finish.
",joergen
282,4T's Stout,3.3,"Warrington, Cheshire",Delt med Rune. Svart. Mokkafarget filmskum. Lakrisaroma. Smaken melkesjokolade & røstet malt. Litt tørr avslutning.,Finn
283,Mad Squirrel Sapling,3.6,"Hemel Hempstead, Hertfordshire","Keg at MS HW, 06/02/20.
Almost clear golden with a decent lasting just off white head.
Nose is orange peel, citric tinged straw, toasted malts, lemon drizzle, light pine, melon.
Taste comprises orange zest, citric sherbets, grass, light pine, hint floral, melon, tangerine.
Medium bodied, fine carbonation, semi drying close spiked with juicy to grassy hop bitterness.
Decent well balanced session gear.",Theydon_Bois
284,Wylam Macchiato,3.7,"Newcastle upon Tyne , Tyne & Wear","Has that great cold brewed coffee flavor, dry and tight with its flavors, clean and crisp. Gbbf winter, real cask ale",bdleedahl
285,M&B Brew XI (Cask),3.0,"Burton-on-Trent, Staffordshire","Delt med Rune. Gylden. Lavt tett skum. Litt lacing. Lett maltaroma. Smaken kjeks & banan. Tørr, forsiktig bitter avslutning.",Finn
286,Charnwood Tasman Bay,3.5,"Loughborough, Leicestershire","Handpull cask at the Parcel Yard, Leicester. Light to mid-gold, clear as a bell with a small and slightly foamy white head. Lots of lacing. Scent of lemon, grapefruit and gooseberry with a touch of soap. Tastes sweet with a distinct lemon curd flavour, some hoppy bitterness, more soap again. St Clements in the aftertaste. A gentle and well-hopped little golden.",jjsint
287,North Brewing Co Sea of Kindness,3.4,"Leeds, West Yorkshire","Draught at Mikkeller Bar Viktoriagade.
Hazy golden coloured with a small white head.
Fruity aroma of hops and citrus.
Fruity flavour of hops and citrus with notes of pine needles.
Hoppy finish.
",joergen
288,Weird Beard Black Christmas,3.3,"Ealing, Greater London","Hazy real cask ale, smells great but is a bit oxidized. Otherwise a great beer. Gbbf winter",bdleedahl
289,Backyard 1898 Dark Mild,3.4,"Walsall, West Midlands","Pours a clear dark brown colour with a small bubbly off white head that settled. Great aroma, roasted malts, chocolate and a hint of liquorice. Not a lot of sweetness but some, roasted malt flavours, a little chocolate and a nice dry finish.",Parmenion777
290,Blue Spruce Belgian Holiday Spiced Ale,3.2,"Centennial, Colorado","December 14th, 2015 - The smell of Christmas hangs heavy over this hazy, cinnamon colored beer. Vanilla and custard tease rich desserts, while cinnamon and clove give the scent it's holiday cheer. The flavor is weaker than the aroma, with an odd tanginess, but I do find comfort in the brusque, rye focused aftertaste.",GarrettB
291,North Brewing Co Tunnels Of LA,3.4,"Leeds, West Yorkshire","Draught at Mikkeller Bar Viktoriagade.
Clear golden coloured with a small white head.
Fruity aroma of hops and citrus.
Fruity flavour of hops and citrus.
Hoppy finish.
",joergen
292,Steam Brew Imperial Stout,1.5,"Neckarsulm, Baden-Württemberg","Barwa czarna nieprzejrzysta. 
Piana Beżowa drobno pęcherzykowa, zanikająca. Muszę przyznać, że mamy tu bardzo ładny lacing. 
W aromacie Mokra szmata trochę Rodzynek, trochę śliwek likierze, ale naprawdę mocno trzeba chcieć coś wyczuć. 
W smaku pusto. Delikatna słodycz przechodzi w delikatną goryczkę, ale za każdym łykiem pierwsza dopada mojra szmata. Ogólnie nic się nie dzieje. Alkohol wyczuwalny metalicznie drapie w gardło. Omijać szerokim łukiem. ￼￼￼￼",yield
293,Beamish Irish Stout,5.0,"Cork, Ireland","""il solito"" al pub che frequento di più era la Beamish. Una birra che non ti stanca mai, leggera di gradazione, dissetante, ne berresti litri!
Ottima stout Irlandese ""caffelattosa"", con schiuma spumosa (spillatura ad azoto).
Per il mio gusto, superiore alla ""sorella"" ben più famosa e diffusa.",flogisto
294,Melvin Thaiger Style,3.7,"Alpine, Wyoming","Can from Beer Republic. Clear orange with an off-white head. Aroma is sweet, malty, caramel and moderate hoppy - citrus. Flavor is medium sweet and moderate bitter. Dry and moderate bitter finish. 060220",Rasmus40
295,Founders Más Agave,3.9,"Grand Rapids, Michigan","Review based on the BJCP2015 guidelines (style 33B/27-Adapted). Bottle 35.5 cl - Batch 1023 6 (BBF unknown - Bottled on 05.06.19). AROMA: medium-high lime aroma with a medium-low tequilla presence and a slight salty character. APPEARANCE: medium amber color with material in suspension. medium-low beige head, creamy, with average retention. lave formation. TASTE: initial medium-high lime zest, followed by medium-low tequilla. medium-low sweet character, balanced by a medium-low later bitterness. finishes semi-sweet and a touch salty. PALATE: medium-high with a velvety texture. smooth alcohol warmth. medium-low carbonation. OVERALL: a margarita in a beer bottle. low acidic profile and very tasty.",cervmagpt
296,North Brewing Co / Pressure Drop Baltic Porter + Cherry,3.8,"Leeds, West Yorkshire","Draught at Mikkeller Bar Viktoriagade.
Black coloured with a small beige head.
Roasted aroma of caramel, chocolate and cherries.
Light roasted flavour of caramel and chocolate with notes of cherries.
Light roasted finish.
",joergen
297,Byatt's XK Dark,2.8,"Coventry, West Midlands","Pours a clear reddish brown colour with a small off white head that settled to a thin film. Aroma is sour roasted malts and a hint of vegetable. Not a lot of sweetness, roasted malt flavours with some bitter chocolate and vegetable flavours. Not great.",Parmenion777
298,Weal Ales Wagon Weal,3.0,"Newcastle-under-Lyme, Staffordshire","Oxidized and stale at the gbbf winter 2019 served as a real cask ale. A mild and bitter beer, light and the body is creamy.",bdleedahl
299,Ruddles County (Filtered),3.0,"Bury St. Edmunds, Suffolk","Burk från SB. Klar, bärnstensfärgad kulör med ljusbrun skumkrona. Doft av bröd, karramelmalt, aprikos och honung. Bitter och torr munkänsla. Smak av osötat bröd, tallbarr, malt, grapefrukt och lite torkad aprikos.",GarageBrewer80
300,Mikkeller NYC Wishful Drinking,4.2,"Queens, New York","Opaque golden/amber beer with a medium off-white head. Medium/heavy aroma; taste starts medium sweet and ends slightly bitter and dry. Orange, tropical fruit, hops and citrus. 8/5/8/4",MelvinKalksma
301,Oliver's Classic Perry,2.5,"Hereford, Herefordshire",Bag-in-Box. På GBBF Winter 2020 i Birmingham. Hvitvinsaktig. 0 skum. Forsiktig pærearoma. Smaken søte pærer. Lett syrlig avslutning.,Finn
302,Kelham Island Crimson Chaos,3.4,"Sheffield, South Yorkshire","A clear amber colour with a coppery tint and a thin off white head that quickly disappeared. Aroma is toffee malts with herbal hop notes. Not a  lot of sweetness, a bitter slightly astringent taste, with some underlying malt flavours. A robust drying bitterness in the finish. The more I drink the more I like it.",Parmenion777
303,Grimm Hypersuggestion,4.0,"Brooklyn, New York","473ml can. Crisp, malty and sweetish with loads of hops, tropical fruits, citrus and pine. Pretty good.",tiong
304,Newton Court Gasping Goose,2.8,"Leominster, Herefordshire",Bag-in-Box. På GBBF Winter 2020 i Birmingham. Gylden. 0 skum. Ser ut som eplejuice. Aroma av grønne epler. Smaken søt & snerpende tørr. Epler. Grei.,Finn
305,Newton Court Cider Winnal's Longdon Perry,2.8,"Leominster, Herefordshire",Bag-in-Box. På GBBF Winter 2020 i Birmingham. Grågrønn. 0 skum Uklar. Aroma av pæreskall. Smaken nøtter & pærer. Lett tørr avslutning.,Finn
306,Höss Allgäuer Hüttenbier,3.5,"Sonthofen, Bavaria","Bottle from the lcbo. Clear golden pour with a large white head. Very malty, lots of cereals, soft sweetness, light hay, and dry grass. Biscuity, and slightly bready, with some banana. Mouth feel is good, carb is fine. Finish is very soft, light minerals, lightly grassy, solid cereals in the end.",robinvboyer
307,Moor Imperial Stout,4.1,"Bristol, Gloucestershire","Color negro, opaca. Un dedo de espuma marrón con retención media. Aroma a malta muy tostada, un tanto quemada, café y regaliz. Gusto a frutos secos muy tostados, madera quemada, regaliz, café, ligeramente ahumada, alcohólica. Cuerpo oleoso. Imperial Stout de manual, con un cuerpo que da miedo y con un punto quemado que le da mucho carácter, sólida.",Suco
308,Twisted Barrel Beast of a Midlands Mild,3.6,"Coventry, West Midlands","The quintessential example of the style. Clean, so mild you’d think it is water yet has a great neutral profile with subdued roast and a good body. GBBF Winter cask real ale",bdleedahl
309,Nempnett Piglet's Perry Medium Sweet,2.4,"Nempnett Thrubwell, Somerset",6.5%. Bag-in-Box. På GBBF Winter 2020 i Birmingham. Delt med Rune. Hvitvinsaktig. 0 skum. God pærearoma. Smaken søte pærer. Veldig søt & uvariert.,Finn
310,Mayfayre Medium,1.6,"Priors Frome, Herefordshire",Bag-in-Box. På GBBF Winter 2020 i Birmingham. Delt med Rune. Grågul. Luftig skumring. Stikkende pærearoma. Smaken maling. Ikke god. Forsiktig tørr avslutning.,Finn
311,Gwatkin Yarlington Mill Cider (6% ABV from 2016),1.9,"Hereford, Herefordshire",Bag-in-Box. På GBBF Winter 2020 i Birmingham. Delt med Rune. Gusjeamber. Skumring. Aroma av epleskall. Smaken det samme. Lett tørr avslutning.,Finn
312,Siren Broken Dream,3.7,"Finchampstead, Berkshire","A nice dry cold brewed coffee stout. Served as real cask ale, balanced and nothing off. GBBF winter",bdleedahl
313,Viking Sigildur Gaedabjor,2.4,"Akureyri, Iceland","Typowy rasowy lager , nie  ma żadnych poważnych wad ani  niczym specjalnym się nie wyróżnia , taki typowy średniak , nieznacznie lepszy od naszych piw koncernowych .",LucaszNDM
314,Cloudwater A Scabrous Edge Of The Sky,3.8,"Manchester, Greater Manchester","Can @ Home. Pours hazy yellow with a creamy white head, light lacings. Aroma of light malt, rich fruity hops, tropical fruit, melon, sweet citrus, mandarin, orange, light grapefruit. Flavor is sweet, light bitter, malt, frutiy hops, melon, citrus, orange, grapefruit. Medium to full body, average carbonation, sweet light bitter finish. 050220",Camons
315,Gwatkin Farmhouse Perry,2.5,"Hereford, Herefordshire",6.0%. Bag-in-Box. På GBBF Winter 2020 i Birmingham. Delt med Rune. Skittengrå. 0 skum. Aroma av godt modne pærer. Smaken syrlig & søte pærer. Søt avslutning.,Finn
316,Viking Gylltur,2.4,"Akureyri, Iceland","Typowy rasowy lager , nie  ma żadnych poważnych wad ani  niczym specjalnym się nie wyróżnia , taki typowy średniak , nieznacznie lepszy od naszych piw koncernowych .",LucaszNDM
317,Nene Valley Manhattan Project,3.1,"Oundle, Northamptonshire","Pours a clear gold colour with a small bubbly near white head. A light citrus aroma, tangerine and lemons. Medium sweet taste, light toasted malt and citrus flavours, drying bitterness in the finish.",Parmenion777
318,Cleeve Orchard Perry ,2.4,"Ross-on-Wye, Herefordshire","Bag-in-Box. På GBBF Winter 2020 i Birmingham. Delt med Rune. Lys grågul. 0 skum. Tørr pærearoma. Smaken godt modne pærer. Søt, tørr avslutning.",Finn
319,LIC Beer Project Coded Tiles,3.5,"Long Island City, New York","473 ml can.
Pours slightly hazy yellow color with a large white head. Citric fruity aroma, hoppy, somewhat piney, faint malty tones. Flavor is bitter malty and hoppy, citric fruity, subtle mango notes too, moderately juicy finish. Okay refreshing fruity brew.
3415",olio
320,Saints Row / ORB Paddle Faster I Hear Banjos,2.6,"Darlington, Durham",På GBBF Winter 2020 i Birmingham. Delt med Rune. Gylden. Skumring. Nesten klar. Ferskenaroma. Smaken laktose & syrlig frukt. Tørr avslutning. Litt uvariert.,Finn
321,Nothhaft Rawetzer Weißbier,3.4,"Marktredwitz, Bavaria","Bottle. Cloudy golden, offwhite foam. Allspice and clove aroma. Fairly dry body, dusty and chalky, spices up front, some banana, preserved fruit in the finish.",jonas
322,Barngates Goodhew's Dry Stout,3.5,"Ambleside, Cumbria","Nice light drinkable mild ale, good body, clean roasty character that is true to the classic style. GBBF Winter",bdleedahl
323,Salopian Holding Patterns,3.2,"Hadnall, Shropshire",A bit oxidized as a real cask ale at GBBF Winter. But it has a good full bodied golden ale.,bdleedahl
324,Birmingham Brewing Stout Brummie,2.9,"Birmingham Stirchley, West Midlands",På GBBF Winter 2020 i Birmingham. Delt med Rune. Svart. Filmskum med litt farge. Lett blomsteraroma. Smaken blomster & karamell. Lett tørr avslutning.,Finn
325,Argus Gold Unpasteurized / Niepasteryzowane,2.3,"Neckarsulm, Baden-Württemberg","Tiszta arany szín. Közepes fehér hab. Illata édeskés, malátás, jellemzően nagyüzemi,  kis gyógyszeres komlóssággal. Kifejezetten malátás, édes alapíz,  visszafogott szénsavasság. Furcsa mellékízzel. Kicsit testetlen. A többi markatárs jellemzően jobb volt.",mkcmagico
326,Evil Twin Even More 8 lb 6 oz Newborn Infant Jesus,3.1,"Queens, New York","Can 473ml (Beergium)

Opaque colour, small brownish head. Aroma has roastyness and metal. Light to medium-bodied. Roasted, very coffeish flavour, even flavour is a bit roasted. Coffeish, ashy aftertaste. Harsh bitterness. More like the normal (not milk) stout to me.",TBone
327,Aslin Neutrino (Double Dry Hopped),3.2,"Herndon, Virginia","Draught at Rbabarrab.
Hazy golden coloured with a small white head.
Fruity aroma of hops and pine needles with notes of grapefruits.
Fruity flavour of hops and pine needles with notes of grapefruits.
Dry hoppy finish.",joergen
328,Aslin Soaking the Dishes,3.7,"Herndon, Virginia","Draught at Rbabarrab.
Hazy golden coloured with a green tinge and a small white head.
Fruity aroma of hops and exotic fruits with notes of citrus.
Fruity flavour of hops and citrus with notes of exotic fruits.
Hoppy finish.",joergen
329,Aslin Master of Oranges,3.8,"Herndon, Virginia","Draught at Rbabarrab.
Hazy golden coloured with a small white head.
Fruity aroma of exotic fruits and white wine grapes with notes of citrus.
Fruity flavour of hops and white wine grapes with notes of exotic fruits.
Hoppy finish.",joergen
330,Aslin Double Orange Starfish,3.8,"Herndon, Virginia","Draught at Rbabarrab.
Hazy golden coloured with a small white head.
Fruity aroma of hops and exotic fruits with notes of citrus.
Fruity flavour of hops and exotic fruits with notes of pine needles, hops and citrus.
Hoppy finish.
",joergen
331,Aslin Selfish Predator,3.9,"Herndon, Virginia","Draught @ Sori Taproom, Helsinki. Heavy, sweetish malty and juicy fruity with some orange peel, tropical notes, grass and citrus, some bitterness and earthiness. Pretty good.",tiong
